EVI,NDVI,date,RVI,bare,built,crops,flooded_vegetation,grass,shrub_and_scrub,snow_and_ice,trees,water
,,2025-03-05,0.8881721113078292,,,,,,,,,
0.1518253197621046,0.2321827234247232,2025-03-06,,0.03609841902276375,0.6560065761684779,0.09440975801002922,0.029876980452111984,0.035095715088688265,0.050893500996078346,0.03696535346130717,0.026236817315376484,0.03437929355264588
0.14983068511892905,0.21024771927547087,2025-03-08,,,,,,,,,,
,,2025-03-11,,0.03281078949399105,0.7005645585673804,0.06923663632383664,0.025736787401451484,0.030241791586979174,0.04451847765960889,0.034934658616469036,0.028803681618163046,0.033115739093778115
0.1423955856498169,0.206656642915695,2025-03-13,,,,,,,,,,
0.13423724076652083,0.2012282556947085,2025-03-15,,0.04679502706451359,0.5733631196132779,0.12883478097777304,0.030765336020485156,0.03232961072455127,0.08187209079529742,0.03996547583606619,0.030154162037024066,0.03588139938957743
,,2025-03-17,0.9236695851238121,,,,,,,,,
0.13864940370859982,0.19213842423671992,2025-03-18,,0.034556358009273334,0.7045689353312761,0.07571119760180259,0.023836459129716395,0.029087744416279093,0.04243240290246049,0.036213308529097675,0.023570512139971987,0.02998637285264825
,,2025-03-23,,0.04771070878010283,0.6677798751841184,0.07184817867384186,0.031131340649468972,0.03280671206901549,0.04757443235940696,0.03816432584785705,0.028750536875153356,0.03419695751510438
0.12797271928016715,0.1985074393041628,2025-03-26,,,,,,,,,,
0.13934768179923668,0.20055186856475757,2025-03-28,,0.04145479467350869,0.628561127430421,0.11358253262005746,0.026208771747253994,0.030610942883301448,0.05915578355951337,0.03851108802761871,0.02794112614871082,0.03393496399491938
,,2025-03-29,0.7583980921286423,,,,,,,,,
0.12468109860464519,0.19982013767804596,2025-03-31,,0.040959519802850126,0.6755138315388399,0.05919744362999204,0.027575955725422457,0.028032751337059483,0.06194296498233456,0.03831269691852894,0.03321248170010118,0.03521590612641056
0.13930696888558364,0.20211348697084017,2025-04-04,,,,,,,,,,
,,2025-04-05,,0.04072194867365392,0.6332953371819144,0.0898370807788591,0.03247111183359392,0.03403765414483701,0.06448960958593584,0.037388173315718407,0.031044779479123135,0.0366771013699183
0.139824791205945,0.18846452832764404,2025-04-07,,,,,,,,,,
0.1203434231014682,0.18985967237063678,2025-04-10,0.7246189913533498,0.03522020083062891,0.7040265968597244,0.0666309469849233,0.024690995909869572,0.02920167884711359,0.044360093152780056,0.035162128439392364,0.026419185952852184,0.034253182224943876
0.12407000078897831,0.18491438351346226,2025-04-15,,0.03641117175182582,0.7091249859279255,0.05993524328526681,0.02724427449278102,0.03151439050782136,0.04333099513393049,0.03399544347095413,0.025885562658764794,0.03252393184192778
0.11963641155705357,0.18344147532459734,2025-04-17,,0.034882702799927126,0.7030505900790482,0.06259692695825056,0.026041310819680422,0.03224197377370588,0.04702351095886772,0.034304656799777615,0.02666026453670211,0.03316497929429295
0.1385512859391199,0.18575192765383422,2025-04-17,,0.034882702799927126,0.7030505900790482,0.06259692695825056,0.026041310819680422,0.03224197377370588,0.04702351095886772,0.034304656799777615,0.02666026453670211,0.03316497929429295
0.12526668159906057,0.1839774545749415,2025-04-20,,0.034468231982053996,0.7275583564294409,0.056254359630492044,0.022698281917656535,0.027265627056015804,0.04196611601704577,0.03319370364682951,0.024754010804674535,0.0318075807972174
,,2025-04-22,0.5747639095391428,,,,,,,,,
0.13512054096016554,0.17845403008613508,2025-04-24,,0.04277408839217638,0.6565852793149646,0.10023865209829345,0.026266310499977463,0.03350297153330094,0.04957876030561843,0.0375747510638904,0.021603631833640995,0.03183693276008093
0.12885948313305934,0.18362534537625697,2025-04-25,,,,,,,,,,
,,2025-04-27,,0.06897088988570794,0.4426233664576771,0.21500703780910183,0.031474481656918074,0.031078321966151703,0.0946618859132993,0.04498870261383595,0.02938124386098644,0.041771572845190355
0.11809418655427874,0.1677330275677685,2025-04-30,,,,,,,,,,
0.12388398484744863,0.16382634909164562,2025-05-02,,0.0551074602287538,0.5787684442101432,0.14996132776911575,0.02931789809782396,0.03536441186032012,0.055890775367629236,0.03686523799738234,0.02338588399839677,0.035301530161887945
