RVI,date
0.7394291365310985,2025-03-03
0.39970741947653954,2025-03-15
0.32153562067650965,2025-03-27
0.4740338604390706,2025-04-08
0.39513086432798894,2025-04-20
0.23013322348943344,2025-05-02
0.42226121417575063,2025-05-14
0.2769723754076263,2025-05-26
0.41257293885653373,2025-06-07
0.3772636208209429,2025-06-19
0.6183024079993905,2025-07-01
0.386158275427236,2025-07-13
0.8141011077322723,2025-07-25
0.5769707841913242,2025-08-06
0.6300510366001942,2025-08-18
0.6662912608822545,2025-08-30
0.651013079938472,2025-09-11
0.48071627130070566,2025-09-23
0.536743387708987,2025-10-05
0.4371173318478298,2025-10-17
0.32805393737249183,2025-10-29
0.38060319727424763,2025-11-10
0.6351258917351148,2025-11-22
0.6109536296189723,2025-12-04
0.8168271865223282,2025-12-16
1.1155668094804203,2025-12-28
1.380239592847371,2026-01-09
0.8432206643725434,2026-01-21
1.2236294476125584,2026-02-02
1.224557158882105,2026-02-14
