RVI,date
0.6135067258464175,2025-02-19
0.5827342037073081,2025-03-03
0.4228434481176713,2025-03-15
0.39111575016986444,2025-03-27
0.4758220179314029,2025-04-08
0.2906268346178421,2025-04-20
0.6309974535350646,2025-05-02
0.44427988683362984,2025-05-14
0.3700503694977074,2025-05-26
0.5083921516745764,2025-06-07
0.3693855428146063,2025-06-19
0.34208251471170414,2025-07-01
0.6033165316626239,2025-07-13
0.47053963943297494,2025-07-25
0.8661558468937194,2025-08-06
0.7630634468588139,2025-08-18
1.0053891429661181,2025-08-30
0.6039453822382025,2025-09-11
0.7483596839711214,2025-09-23
0.6159331289637039,2025-10-05
0.405154465831133,2025-10-17
0.3905272466992751,2025-10-29
0.4962386799675042,2025-11-10
0.6705264224694985,2025-11-22
0.6462088254802562,2025-12-04
0.9017089055340282,2025-12-16
0.5659344559445756,2025-12-28
0.913167390814897,2026-01-09
1.0385629142308537,2026-01-21
0.8247379649379817,2026-02-02
0.7172844014469633,2026-02-14
